epoch,_calculate_kl_loss,_calculate_reconstruction_loss,loss,val__calculate_kl_loss,val__calculate_reconstruction_loss,val_loss
0,233807340.0,0.0800281,233815614.80268532,238.51155,0.089524426,9190.9543590924
1,460.9354,0.07297772,7758.706403609531,175.62877,0.08741116,8916.74445203758
2,116.4228,0.07179129,7295.553660624925,203.65646,0.08551936,8755.593541143577
3,107.66885,0.07033676,7141.347286877357,59.202847,0.0815152,8210.723050684228
4,58.861076,0.068893634,6948.227510502865,56.10596,0.07770815,7826.920494398806
5,59.50774,0.06826099,6885.6070108889235,49.58097,0.069528386,7002.420204636971
6,49.198936,0.06765467,6814.666421951186,46.390446,0.0676658,6812.971158441772
7,50.637375,0.06736518,6787.156881333788,46.559635,0.06750443,6797.002363268227
8,45.27193,0.06710776,6756.047674252643,41.543903,0.067135625,6755.10653224105
9,43.825222,0.06691463,6735.290581614179,40.014355,0.06736398,6776.411898483731
10,58.258965,0.066735245,6731.782668163448,241.72829,0.06759928,7001.656101944725
11,150.3903,0.066562146,6806.603957531181,45.190266,0.0695384,6999.030025593458
12,39.036747,0.06645133,6684.170312288372,38.330315,0.06679944,6718.272624783167
13,447.7382,0.06869465,7317.202187059651,1191.8243,0.1167805,12869.876106141388
14,1354.5027,0.07182542,8537.045015744327,723.44385,0.08129978,8853.42232250297
15,655.35583,0.06819434,7474.7887287989215,576.26746,0.07389351,7965.618940640497
16,513.1654,0.0668365,7196.8169919412785,478.6708,0.07102572,7581.243132400322
17,456.16357,0.066479936,7104.159188183152,437.3007,0.06729985,7167.284962695606
18,416.9744,0.06632755,7049.7295704899425,395.18335,0.068976104,7292.792663034985
19,375.10953,0.06626436,7001.546570428326,353.0772,0.068715386,7224.616475385872
20,329.46268,0.06614361,6943.822799965911,302.67798,0.06795622,7098.299546180874
21,291.6219,0.066086635,6900.285175164272,283.05838,0.06684716,6967.774691371088
22,292.0107,0.066034965,6895.50388864823,296.935,0.067925885,7089.522378404213
23,270.66388,0.065991946,6869.858365543556,242.10391,0.067418486,6983.952207610773
24,230.54294,0.06588832,6819.377603739341,223.80074,0.07098673,7322.473883668112
25,215.54607,0.06584266,6799.810067262368,209.69357,0.069211274,7130.821338061552
26,199.84515,0.065790355,6778.880295660499,192.8119,0.06710951,6903.762894564458
27,185.2436,0.06573882,6759.126683848436,179.59973,0.06836381,7015.980964193902
28,171.06093,0.06571723,6742.7858782176445,163.61447,0.06783225,6946.839627405348
29,211.96758,0.06568672,6780.6371002302185,338.63278,0.06596785,6935.417478352512
30,245.11241,0.06564052,6809.16534874174,143.82675,0.065766945,6720.521730346985
31,247.8375,0.06559946,6807.780363450715,212.13454,0.06770369,6982.503518571455
32,128.78746,0.06558077,6686.867539504884,87.010666,0.068460256,6933.034928754401
